slug	category	primaryTopic	processing	featured	extension	role	rationale
add-digital-signature-to-pdf	pdf	pdf-docs	local	no	web-only	stay-web	narrow/archival/certification; weak store intent; keep on site
add-text-to-pdf-file	pdf	pdf-docs	local	no	E1-pdf-tools	v1.5-extra	same PDF purpose; ship after core capture/merge/compress
add-watermark	image	image-media	local	yes	E2-image-tools	v1.5-extra	same image job (watermark/social sizes/exif)
add-www-to-dns	developer	network-ip	local	yes	web-only	stay-web	domain/DNS/index APIs; no live-tab advantage
amazon-main-image-size	image	image-media	local	yes	E2-image-tools	v1.5-extra	same image job (watermark/social sizes/exif)
android-prompt-builder	developer	ai-prompt-template-builder	remote	no	web-only	stay-web	AI/Turnstile/templates; not a browsing companion
apple-touch-icon	image	image-media	local	no	E2-image-tools	v1.5-extra	same image job (watermark/social sizes/exif)
archive-extractor	developer	files-archives	local	yes	web-only	stay-web	file utilities; website is enough; permission-heavy
aws-vpc-cidr-planner	developer	network-ip	local	no	web-only	stay-web	network calculators; no tab context
base64	developer	dev-data	local	yes	later-E5-dev	later	classic snippet tools; crowded store; popup parity only
batch-checksum-release-files	developer	security-ids	local	yes	web-only	stay-web	file utilities; website is enough; permission-heavy
batch-compress-pdfs-for-email	pdf	pdf-docs	local	yes	E1-pdf-tools	v1.5-extra	same PDF purpose; ship after core capture/merge/compress
batch-convert-web-pages-to-pdf	pdf	pdf-docs	remote	no	E1-pdf-tools	core	same PDF job; webpage capture is the browser-native spike
batch-watermark-product-photos	image	image-media	local	yes	E2-image-tools	v1.5-extra	same image job (watermark/social sizes/exif)
brand-color-token-pack	design	design-brand	local	yes	later-E4-color	later	design tokens; weak vs live-page eyedropper/contrast
brand-style-guide	design	design-brand	local	yes	later-E4-color	later	design tokens; weak vs live-page eyedropper/contrast
bulk-compress-png-images	image	image-media	local	yes	E2-image-tools	core	compress/convert/resize is the store search job
bulk-compress-product-photos	image	image-media	local	yes	E2-image-tools	core	compress/convert/resize is the store search job
bulk-convert-images-to-jpg	image	image-media	local	yes	E2-image-tools	core	compress/convert/resize is the store search job
bulk-convert-images-to-png	image	image-media	local	yes	E2-image-tools	core	compress/convert/resize is the store search job
bulk-convert-images-to-webp	image	image-media	local	yes	E2-image-tools	core	compress/convert/resize is the store search job
chatgpt-export-to-markdown	developer	dev-data	local	no	web-only	stay-web	AI/Turnstile/templates; not a browsing companion
check-pdf-a-compliance	pdf	pdf-docs	local	no	web-only	stay-web	narrow/archival/certification; weak store intent; keep on site
check-robots-txt-url-blocked	developer	seo-growth	remote	no	E3-page-inspector	v1.5-extra	generate or check artifacts of the current page
check-ssl-certificate-expiration	developer	seo-growth	remote	no	web-only	stay-web	domain/DNS/index APIs; no live-tab advantage
cidr-cheat-sheet	developer	network-ip	local	no	web-only	stay-web	network calculators; no tab context
cidr-to-ip-range	developer	network-ip	local	no	web-only	stay-web	network calculators; no tab context
color-from-image	image	image-media	local	yes	E2-image-tools	v1.5-extra	same image job (watermark/social sizes/exif)
combine-files-into-one-pdf	pdf	pdf-docs	local	no	E1-pdf-tools	v1.5-extra	same PDF purpose; ship after core capture/merge/compress
compare-two-pdfs	pdf	pdf-docs	local	no	E1-pdf-tools	v1.5-extra	same PDF purpose; ship after core capture/merge/compress
compare-two-text-files-online	developer	text-compare	local	yes	later-E5-dev	later	could select-text compare; low CWS distinctiveness
compare-two-word-documents-for-differences	developer	text-compare	local	yes	later-E5-dev	later	could select-text compare; low CWS distinctiveness
compress-pdf	pdf	pdf-docs	local	yes	E1-pdf-tools	core	same PDF job; webpage capture is the browser-native spike
convert-html-to-pdf	pdf	pdf-docs	remote	no	E1-pdf-tools	core	same PDF job; webpage capture is the browser-native spike
convert-pdf-to-dwg	pdf	pdf-docs	local	no	web-only	stay-web	narrow/archival/certification; weak store intent; keep on site
convert-pdf-to-pdf-a	pdf	pdf-docs	local	no	web-only	stay-web	narrow/archival/certification; weak store intent; keep on site
convert-word-document-to-pdf	pdf	pdf-docs	local	no	E1-pdf-tools	v1.5-extra	same PDF purpose; ship after core capture/merge/compress
core-web-vitals-checker	developer	seo-growth	local	yes	E3-page-inspector	v1.5-extra	generate or check artifacts of the current page
create-budget-spreadsheet	calculator	business-finance	local	yes	web-only	stay-web	no page context; Google SEO >> CWS search
create-excel-timesheet	calculator	business-finance	local	yes	web-only	stay-web	no page context; Google SEO >> CWS search
create-invoice-spreadsheet	calculator	business-finance	local	yes	web-only	stay-web	no page context; Google SEO >> CWS search
create-pdf-form	pdf	pdf-docs	local	no	web-only	stay-web	narrow/archival/certification; weak store intent; keep on site
create-zip-file	developer	files-archives	local	yes	web-only	stay-web	file utilities; website is enough; permission-heavy
crop-pdf	pdf	pdf-docs	local	yes	E1-pdf-tools	core	same PDF job; webpage capture is the browser-native spike
