our_slug	name_zh	omni_category	omni_slug	url_en	progress_hint	note
how-to-calculate-bmi	BMI	health	bmi	https://www.omnicalculator.com/health/bmi	已上线	已上线 slug 锁定；A.7；C-V5；禁拆男女/儿童页；合并 bmi|bmi-men|bmi-women|bmi-kids|bmi-teens|bmi-in-pregnancy|bmi-percentile-child|bmi-weight-loss
how-to-calculate-roi	ROI	finance	roi	https://www.omnicalculator.com/finance/roi	已上线	已上线 slug 锁定；A.7；C-V4；勿与 ROIC/GMROI 混意图；合并 roi|roas|online-marketing-roi
how-to-calculate-marginal-revenue	边际收益	finance	marginal-revenue	https://www.omnicalculator.com/finance/marginal-revenue	已上线	已上线 slug 锁定；A.7；C-V4
square-feet	平方英尺换算	conversion	square-feet-converter	https://www.omnicalculator.com/conversion/square-feet-converter	已上线	已上线 slug 锁定；已上线 slug 锁定；检索可覆盖 how to calculate square feet；合并 square-feet-converter|square-footage|wall-square-footage|square-feet-of-rectangle|square-feet-triangle
how-to-calculate-percentage-change	百分比变化	math	percentage-change	https://www.omnicalculator.com/math/percentage-change	已上线	已上线 slug 锁定；A.7；一带涨跌与误差百分比；合并 percentage-change|percentage-increase|percentage-decrease|percentage-difference|percent-error
how-to-calculate-gradient	多元函数梯度 ∇f	math	gradient	https://www.omnicalculator.com/math/gradient	已上线	已上线 slug 锁定；A.7；非 CSS 渐变
how-to-calculate-compound-interest	复利 / 单利	finance	compound-interest	https://www.omnicalculator.com/finance/compound-interest	已上线	已上线 slug 锁定；A.7；C-V4；单利作模式非拆页；合并 compound-interest|simple-interest|compound-interest-rate
how-to-calculate-emi	贷款 EMI / 摊还 / 房贷月供	finance	emi	https://www.omnicalculator.com/finance/emi	已上线	已上线 slug 锁定；合并原 loan-emi + mortgage；禁车/房/车贷拆页；合并 emi|amortization|bike-emi|home-loan-emi|personal-loan-emi|mortgage|mortgage-payoff|mortgage-amortization|biweekly-mortgage|home-mortgage
how-to-calculate-bmr-tdee	BMR / TDEE / 卡路里	health	bmr	https://www.omnicalculator.com/health/bmr	已上线	C-V5；禁拆 harris/katch 独立 URL；合并 bmr|tdee|calorie|calorie-deficit|maintenance-calorie|bmr-harris-benedict-equation|bmr-katch-mcardle
how-to-calculate-break-even	盈亏平衡	finance	break-even	https://www.omnicalculator.com/finance/break-even	已上线	C-V4
how-to-calculate-gross-margin	毛利率	finance	gross-margin	https://www.omnicalculator.com/finance/gross-margin	已上线	C-V4
unit-converter	单位换算（通用）	conversion	conversion-calculator	https://www.omnicalculator.com/conversion/conversion-calculator	已上线	换算枢纽非 how-to-calculate；禁按单位对拆页（Omni conversion≈326）
how-to-calculate-body-fat	体脂率	health	navy-body-fat	https://www.omnicalculator.com/health/navy-body-fat	已上线	C-V5；合并原 body-fat-navy；合并 navy-body-fat|body-fat|army-body-fat|skinfold-body-fat
how-to-calculate-ideal-weight	理想体重区间	health	ideal-weight	https://www.omnicalculator.com/health/ideal-weight	未开始 · P2	C-V5
