our_slug	name_zh	omni_category	primary_omni_slug	merged_omni_slugs	url_en_primary	progress	note
how-to-calculate-bmi	BMI	health	bmi	bmi|bmi-men|bmi-women|bmi-kids|bmi-teens|bmi-in-pregnancy|bmi-percentile-child|bmi-weight-loss	https://www.omnicalculator.com/health/bmi	已上线	A.7；C-V5；禁拆男女/儿童页；slug 已上线锁定
how-to-calculate-roi	ROI	finance	roi	roi|roas|online-marketing-roi	https://www.omnicalculator.com/finance/roi	已上线	A.7；C-V4；勿与 ROIC/GMROI 混意图；slug 已上线锁定
how-to-calculate-marginal-revenue	边际收益	finance	marginal-revenue	marginal-revenue	https://www.omnicalculator.com/finance/marginal-revenue	已上线	A.7；C-V4；slug 已上线锁定
square-feet	平方英尺换算	conversion	square-feet-converter	square-feet-converter|square-footage|wall-square-footage|square-feet-of-rectangle|square-feet-triangle	https://www.omnicalculator.com/conversion/square-feet-converter	已上线	已上线 slug 锁定；检索可覆盖 how to calculate square feet；slug 已上线锁定
how-to-calculate-percentage-change	百分比变化	math	percentage-change	percentage-change|percentage-increase|percentage-decrease|percentage-difference|percent-error	https://www.omnicalculator.com/math/percentage-change	已上线	A.7；一带涨跌与误差百分比；slug 已上线锁定
how-to-calculate-gradient	多元函数梯度 ∇f	math	gradient	gradient	https://www.omnicalculator.com/math/gradient	已上线	A.7；非 CSS 渐变；slug 已上线锁定
how-to-calculate-compound-interest	复利 / 单利	finance	compound-interest	compound-interest|simple-interest|compound-interest-rate	https://www.omnicalculator.com/finance/compound-interest	已上线	A.7；C-V4；单利作模式非拆页；slug 已上线锁定
how-to-calculate-emi	贷款 EMI / 摊还 / 房贷月供	finance	emi	emi|amortization|bike-emi|home-loan-emi|personal-loan-emi|mortgage|mortgage-payoff|mortgage-amortization|biweekly-mortgage|home-mortgage	https://www.omnicalculator.com/finance/emi	已上线	合并原 loan-emi + mortgage；禁车/房/车贷拆页；slug 已上线锁定
how-to-calculate-bmr-tdee	BMR / TDEE / 卡路里	health	bmr	bmr|tdee|calorie|calorie-deficit|maintenance-calorie|bmr-harris-benedict-equation|bmr-katch-mcardle	https://www.omnicalculator.com/health/bmr	已上线	C-V5；禁拆 harris/katch 独立 URL
how-to-calculate-break-even	盈亏平衡	finance	break-even	break-even	https://www.omnicalculator.com/finance/break-even	已上线	C-V4
how-to-calculate-gross-margin	毛利率	finance	gross-margin	gross-margin	https://www.omnicalculator.com/finance/gross-margin	已上线	C-V4
unit-converter	单位换算（通用）	conversion	conversion-calculator	conversion-calculator	https://www.omnicalculator.com/conversion/conversion-calculator	已上线	换算枢纽非 how-to-calculate；禁按单位对拆页（Omni conversion≈326）
how-to-calculate-body-fat	体脂率	health	navy-body-fat	navy-body-fat|body-fat|army-body-fat|skinfold-body-fat	https://www.omnicalculator.com/health/navy-body-fat	已上线	C-V5；合并原 body-fat-navy
how-to-calculate-ideal-weight	理想体重区间	health	ideal-weight	ideal-weight	https://www.omnicalculator.com/health/ideal-weight	已上线	C-V5
how-to-calculate-cagr	CAGR	finance	cagr	cagr	https://www.omnicalculator.com/finance/cagr	已上线	C-V4
how-to-calculate-npv	NPV	finance	net-present-value	net-present-value	https://www.omnicalculator.com/finance/net-present-value	已上线	C-V4；与 PV/FV 分意图
how-to-calculate-standard-deviation	标准差 / 方差	statistics	standard-deviation	standard-deviation|variance|population-variance|relative-standard-deviation|grouped-data-standard-deviation	https://www.omnicalculator.com/statistics/standard-deviation	已上线	A.7；方差作同页模式
how-to-calculate-concrete	混凝土方量	construction	concrete-slab	concrete-slab|concrete-column|concrete-cylinder|concrete-stairs|post-hole-concrete	https://www.omnicalculator.com/construction/concrete-slab	已上线	C 工程；形状作选项禁拆页
how-to-calculate-tile	瓷砖估算	construction	tile	tile	https://www.omnicalculator.com/construction/tile	已上线	C 工程
how-to-calculate-aspect-ratio	宽高比	other	aspect-ratio	aspect-ratio|16-9-aspect-ratio|16-10-aspect-ratio|4-3-aspect-ratio|pixel-aspect-ratio|portrait-aspect-ratio	https://www.omnicalculator.com/other/aspect-ratio	已上线	禁 16:9/4:3 独立 URL；css-aspect-ratio 另评估
how-to-calculate-paint	油漆估算	construction	paint	paint	https://www.omnicalculator.com/construction/paint	已上线	C 工程
how-to-calculate-salary-hourly	年薪 ↔ 时薪	finance	salary-to-hourly	salary-to-hourly|hourly-to-salary|annual-salary|annual-to-monthly-salary|annual-salary-per-hour|hourly-to-annual-salary	https://www.omnicalculator.com/finance/salary-to-hourly	已上线	Omni finance 热门
