slug	category	title_en	primary_roots	secondary_roots	head_note	adwords_seed_suggested
how-to-calculate-acceleration	calculator	Acceleration Calculator — Change in Velocity	acceleration calculator	how to calculate acceleration, a=v/t calculator	calculator head usually crowded; expand AdWords from primary → long_gap only	acceleration calculator
how-to-calculate-age	calculator	Age Calculator — Chronological Age from Birthdate	age calculator	how old am I, calculate age from date of birth	calculator head usually crowded; expand AdWords from primary → long_gap only	age calculator
how-to-calculate-aspect-ratio	calculator	Aspect Ratio Calculator — How to Calculate and Scale Ratios	aspect ratio calculator	16:9 calculator, resize keep aspect ratio	calculator head usually crowded; expand AdWords from primary → long_gap only	aspect ratio calculator
how-to-calculate-bmi	calculator	BMI Calculator — How to Calculate Body Mass Index	bmi calculator	body mass index calculator, how to calculate bmi	calculator head usually crowded; expand AdWords from primary → long_gap only	bmi calculator
how-to-calculate-bmr-tdee	calculator	BMR & TDEE Calculator — How to Calculate Daily Calories	bmr calculator, tdee calculator	basal metabolic rate, total daily energy expenditure	calculator head usually crowded; expand AdWords from primary → long_gap only	bmr calculator
how-to-calculate-body-fat	calculator	Body Fat Calculator — How to Estimate Body Fat Percentage	body fat calculator	body fat percentage calculator	calculator head usually crowded; expand AdWords from primary → long_gap only	body fat calculator
how-to-calculate-break-even	calculator	Break-Even Calculator — How to Calculate Break-Even Point	break even calculator	break even point calculator	calculator head usually crowded; expand AdWords from primary → long_gap only	break even calculator
how-to-calculate-cagr	calculator	CAGR Calculator — How to Calculate Compound Annual Growth Rate	cagr calculator	compound annual growth rate calculator	calculator head usually crowded; expand AdWords from primary → long_gap only	cagr calculator
how-to-calculate-circle	calculator	Circle Calculator — Area and Circumference	circle calculator	circumference calculator, area of circle calculator	calculator head usually crowded; expand AdWords from primary → long_gap only	circle calculator
how-to-calculate-compound-interest	calculator	Compound Interest Calculator — How to Calculate Future Value	compound interest calculator	how to calculate compound interest	calculator head usually crowded; expand AdWords from primary → long_gap only	compound interest calculator
how-to-calculate-concrete	calculator	Concrete Calculator — How to Estimate Concrete Volume	concrete calculator	concrete volume calculator, how much concrete	calculator head usually crowded; expand AdWords from primary → long_gap only	concrete calculator
how-to-calculate-confidence-interval	calculator	Confidence Interval Calculator — How to Calculate a CI	confidence interval calculator	95 confidence interval calculator	calculator head usually crowded; expand AdWords from primary → long_gap only	confidence interval calculator
how-to-calculate-contribution-margin	calculator	Contribution Margin Calculator — Price Minus Variable Cost	contribution margin calculator	how to calculate contribution margin	calculator head usually crowded; expand AdWords from primary → long_gap only	contribution margin calculator
how-to-calculate-date-difference	calculator	Date Difference Calculator — Days and Weeks	date difference calculator	days between dates calculator	calculator head usually crowded; expand AdWords from primary → long_gap only	date difference calculator
how-to-calculate-debt-payoff	calculator	Debt Payoff Calculator — Months to Clear a Balance	debt payoff calculator	debt snowball calculator, pay off debt calculator	calculator head usually crowded; expand AdWords from primary → long_gap only	debt payoff calculator
how-to-calculate-density	calculator	Density Calculator — Mass over Volume	density calculator	how to calculate density	calculator head usually crowded; expand AdWords from primary → long_gap only	density calculator
how-to-calculate-discount	calculator	Discount Calculator — How to Calculate Sale Price	discount calculator	sale price calculator, percent off calculator	calculator head usually crowded; expand AdWords from primary → long_gap only	discount calculator
how-to-calculate-emi	calculator	EMI Calculator — How to Calculate Loan Payments	emi calculator	loan emi calculator, monthly installment calculator	calculator head usually crowded; expand AdWords from primary → long_gap only	emi calculator
how-to-calculate-exponent	calculator	Exponent Calculator — How to Calculate Powers	exponent calculator	power calculator math	calculator head usually crowded; expand AdWords from primary → long_gap only	exponent calculator
how-to-calculate-gpa	calculator	GPA Calculator — How to Calculate Weighted GPA	gpa calculator	grade point average calculator	calculator head usually crowded; expand AdWords from primary → long_gap only	gpa calculator
how-to-calculate-gradient	calculator	Gradient Calculator — Multivariable ∇f (Partial Derivatives)	gradient calculator	slope percentage calculator, rise over run	calculator head usually crowded; expand AdWords from primary → long_gap only	gradient calculator
how-to-calculate-gross-margin	calculator	Gross Margin Calculator — How to Calculate Gross Margin	gross margin calculator	gross profit margin calculator	calculator head usually crowded; expand AdWords from primary → long_gap only	gross margin calculator
how-to-calculate-heart-rate	calculator	Heart Rate Zone Calculator	heart rate calculator	target heart rate calculator, max heart rate	calculator head usually crowded; expand AdWords from primary → long_gap only	heart rate calculator
how-to-calculate-ideal-weight	calculator	Ideal Weight Calculator — How to Estimate Ideal Body Weight	ideal weight calculator	healthy weight calculator	calculator head usually crowded; expand AdWords from primary → long_gap only	ideal weight calculator
how-to-calculate-inflation	calculator	Inflation Calculator — Future Purchasing Power	inflation calculator	inflation rate calculator, purchasing power	calculator head usually crowded; expand AdWords from primary → long_gap only	inflation calculator
how-to-calculate-irr	calculator	IRR Calculator — Internal Rate of Return	irr calculator	internal rate of return calculator	calculator head usually crowded; expand AdWords from primary → long_gap only	irr calculator
how-to-calculate-logarithm	calculator	Logarithm Calculator — How to Calculate Logs	logarithm calculator	log calculator, ln calculator	calculator head usually crowded; expand AdWords from primary → long_gap only	logarithm calculator
how-to-calculate-macros	calculator	Macro Calculator — Calories to Protein Carb Fat Grams	macro calculator	macros calculator protein carbs fat	calculator head usually crowded; expand AdWords from primary → long_gap only	macro calculator
how-to-calculate-marginal-revenue	calculator	How to Calculate Marginal Revenue — MR Calculator (ΔTR / ΔQ)	marginal revenue calculator	how to calculate marginal revenue	calculator head usually crowded; expand AdWords from primary → long_gap only	marginal revenue calculator
how-to-calculate-markup	calculator	Markup Calculator — How to Calculate Markup Percentage	markup calculator	markup percentage calculator	calculator head usually crowded; expand AdWords from primary → long_gap only	markup calculator
how-to-calculate-mean	calculator	Mean Calculator — Average of a Number List	mean calculator	average calculator statistics	calculator head usually crowded; expand AdWords from primary → long_gap only	mean calculator
how-to-calculate-median	calculator	Median and Mode Calculator	median calculator	find the median calculator	calculator head usually crowded; expand AdWords from primary → long_gap only	median calculator
how-to-calculate-npv	calculator	How to Calculate NPV — Net Present Value Calculator	npv calculator	net present value calculator	calculator head usually crowded; expand AdWords from primary → long_gap only	npv calculator
how-to-calculate-ohms-law	calculator	Ohm’s Law Calculator — Resistance and Power	ohms law calculator	voltage current resistance calculator	calculator head usually crowded; expand AdWords from primary → long_gap only	ohms law calculator
how-to-calculate-one-rep-max	calculator	One-Rep Max Calculator (Epley)	one rep max calculator	1rm calculator	calculator head usually crowded; expand AdWords from primary → long_gap only	one rep max calculator
how-to-calculate-p-value	calculator	P-Value Calculator — How to Calculate a P-Value	p value calculator	p-value from z score	calculator head usually crowded; expand AdWords from primary → long_gap only	p value calculator
how-to-calculate-pace	calculator	Pace Calculator — min/km and Speed	pace calculator	running pace calculator, marathon pace	calculator head usually crowded; expand AdWords from primary → long_gap only	pace calculator
how-to-calculate-paint	calculator	Paint Calculator — How to Estimate Paint Needed	paint calculator	how much paint do I need	calculator head usually crowded; expand AdWords from primary → long_gap only	paint calculator
how-to-calculate-payback-period	calculator	Payback Period Calculator — Years to Recover Investment	payback period calculator	how to calculate payback period	calculator head usually crowded; expand AdWords from primary → long_gap only	payback period calculator
how-to-calculate-percentage-change	calculator	Percentage Change Calculator — From Old Value to New	percentage change calculator	percent increase decrease calculator	calculator head usually crowded; expand AdWords from primary → long_gap only	percentage change calculator
how-to-calculate-permutation-combination	calculator	Permutation and Combination Calculator	permutation combination calculator	nPr nCr calculator	calculator head usually crowded; expand AdWords from primary → long_gap only	permutation combination calculator
how-to-calculate-present-value	calculator	Present Value Calculator — PV and FV Modes	present value calculator	pv calculator finance	calculator head usually crowded; expand AdWords from primary → long_gap only	present value calculator
how-to-calculate-profit-margin	calculator	Profit Margin Calculator — Net or Operating Margin	profit margin calculator	net profit margin calculator	calculator head usually crowded; expand AdWords from primary → long_gap only	profit margin calculator
how-to-calculate-pythagorean-theorem	calculator	Pythagorean Theorem Calculator — How to Find a Missing Side	pythagorean theorem calculator	hypotenuse calculator	calculator head usually crowded; expand AdWords from primary → long_gap only	pythagorean theorem calculator
how-to-calculate-quadratic-equation	calculator	Quadratic Equation Solver — Roots and Discriminant	quadratic equation solver	quadratic formula calculator	calculator head usually crowded; expand AdWords from primary → long_gap only	quadratic equation solver
how-to-calculate-roi	calculator	ROI Calculator — How to Calculate Return on Investment	roi calculator	return on investment calculator	calculator head usually crowded; expand AdWords from primary → long_gap only	roi calculator
