时间 (UTC+08:00),点击次数,展示,点击率,排名
2026-08-11T15:00:00,0,11,0%,72.3
2026-08-11T16:00:00,0,19,0%,78.5
2026-08-11T17:00:00,0,12,0%,78.3
2026-08-11T18:00:00,0,8,0%,79.1
2026-08-11T19:00:00,0,19,0%,69.6
2026-08-11T20:00:00,0,16,0%,69.2
2026-08-11T21:00:00,0,13,0%,67.8
2026-08-11T22:00:00,0,15,0%,57.4
2026-08-11T23:00:00,0,18,0%,68.8
2026-08-12T00:00:00,0,21,0%,63
2026-08-12T01:00:00,0,12,0%,55.8
2026-08-12T02:00:00,0,13,0%,76.6
2026-08-12T03:00:00,0,10,0%,77.2
2026-08-12T04:00:00,0,19,0%,74.7
2026-08-12T05:00:00,0,12,0%,77
2026-08-12T06:00:00,0,10,0%,70.3
2026-08-12T07:00:00,0,10,0%,81.6
2026-08-12T08:00:00,0,11,0%,64.9
2026-08-12T09:00:00,0,13,0%,64.8
2026-08-12T10:00:00,0,13,0%,63.4
2026-08-12T11:00:00,0,16,0%,79
2026-08-12T12:00:00,0,11,0%,72.5
2026-08-12T13:00:00,0,0,0%,0
2026-08-12T14:00:00,0,0,0%,0
