国家/地区,点击次数,展示,点击率,排名
日本,2,168,1.19%,24.24
印度,2,47,4.26%,36.06
白俄罗斯,2,9,22.22%,19.78
德国,1,430,0.23%,65.2
西班牙,1,280,0.36%,53.48
台湾,1,155,0.65%,17.08
墨西哥,1,120,0.83%,21.51
中国,1,41,2.44%,7.22
荷兰,1,20,5%,21.3
越南,1,16,6.25%,34.19
孟加拉,1,9,11.11%,31.33
意大利,1,8,12.5%,25.75
海地,1,3,33.33%,4
古巴,1,3,33.33%,7
刚果 - 金沙萨,1,2,50%,7.5
卢森堡,1,1,100%,1
美国,0,1001,0%,26.03
法国,0,432,0%,61.75
巴西,0,236,0%,23.82
俄罗斯,0,176,0%,37.66
瑞士,0,115,0%,89.64
印度尼西亚,0,102,0%,15.28
乌克兰,0,85,0%,52.84
中国香港,0,69,0%,30.77
加拿大,0,60,0%,38.18
哥伦比亚,0,52,0%,30.77
葡萄牙,0,49,0%,40.88
阿根廷,0,46,0%,19.39
英国,0,44,0%,40.57
智利,0,39,0%,21.77
马来西亚,0,33,0%,12.15
奥地利,0,33,0%,70.3
菲律宾,0,30,0%,50.67
秘鲁,0,23,0%,15.57
比利时,0,20,0%,44.55
新加坡,0,19,0%,5.53
埃及,0,16,0%,27.38
澳大利亚,0,15,0%,35.13
委内瑞拉,0,14,0%,11
泰国,0,13,0%,23.62
危地马拉,0,12,0%,7.67
新西兰,0,10,0%,32.8
韩国,0,10,0%,38.5
安哥拉,0,9,0%,29
萨尔瓦多,0,8,0%,6.88
吉尔吉斯斯坦,0,8,0%,8.5
厄瓜多尔,0,8,0%,18.75
多米尼加共和国,0,8,0%,27.88
哥斯达黎加,0,7,0%,10.86
哈萨克斯坦,0,7,0%,15.86
摩洛哥,0,7,0%,17.43
阿拉伯联合酋长国,0,7,0%,19
巴拿马,0,7,0%,20.14
澳门,0,6,0%,5.33
尼泊尔,0,6,0%,16.17
阿尔及利亚,0,6,0%,16.83
瑞典,0,6,0%,39.67
玻利维亚,0,5,0%,7
莫桑比克,0,5,0%,7
捷克,0,5,0%,7.6
贝宁,0,5,0%,9.4
挪威,0,5,0%,9.4
波多黎各,0,5,0%,9.6
伊朗,0,5,0%,10
约旦,0,5,0%,27.6
巴基斯坦,0,5,0%,38.6
以色列,0,5,0%,68
缅甸,0,4,0%,3
突尼斯,0,4,0%,5.75
土耳其,0,4,0%,8.75
洪都拉斯,0,4,0%,10
塞内加尔,0,4,0%,15
科特迪瓦,0,4,0%,18.25
芬兰,0,3,0%,6.67
尼加拉瓜,0,3,0%,9
沙特阿拉伯,0,3,0%,9
肯尼亚,0,3,0%,27.33
巴拉圭,0,3,0%,32.33
南非,0,3,0%,34.33
丹麦,0,3,0%,47
爱尔兰,0,3,0%,51
希腊,0,3,0%,52.33
罗马尼亚,0,3,0%,84
波兰,0,2,0%,4
老挝,0,2,0%,4.5
乍得,0,2,0%,8.5
布基纳法索,0,2,0%,9
摩尔多瓦,0,2,0%,9
多哥,0,2,0%,9
乌拉圭,0,2,0%,9
黎巴嫩,0,2,0%,13.5
伊拉克,0,2,0%,14
尼日利亚,0,2,0%,14
亚美尼亚,0,2,0%,38.5
赞比亚,0,1,0%,2
伯利兹,0,1,0%,3
巴勒斯坦,0,1,0%,3
匈牙利,0,1,0%,4
斯洛伐克,0,1,0%,4
保加利亚,0,1,0%,5
斯里兰卡,0,1,0%,5
文莱,0,1,0%,8
斐济,0,1,0%,9
科威特,0,1,0%,9
巴哈马,0,1,0%,10
利比亚,0,1,0%,10
拉脱维亚,0,1,0%,10
叙利亚,0,1,0%,10
东帝汶,0,1,0%,10
津巴布韦,0,1,0%,10
卢旺达,0,1,0%,25
阿曼,0,1,0%,34
喀麦隆,0,1,0%,43
卡塔尔,0,1,0%,71
摩纳哥,0,1,0%,77
马拉维,0,1,0%,85
